tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
438.00;End_1;1000.00;0.00;19.35;63.00;0.51;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.15 routing_paying_car.15;375.00;paying_car.15;1;7006.00;0.90;0.00;118.90;paying_car;;0;0.00
439.00;End_2;1000.00;0.00;15.45;4.00;0.55;Beg_3;26.70;0.00;0.00;tripinfo_normal_car.2 routing_normal_car.2;435.00;normal_car.2;1;6979.30;1.03;0.00;13.46;normal_car;;0;0.00
440.00;End_2;1000.00;0.00;15.69;6.00;0.83;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.3 routing_normal_car.3;434.00;normal_car.3;1;7006.00;1.05;0.00;17.57;normal_car;;0;0.00
441.00;End_3;1000.00;-1.00;16.84;14.00;0.21;Beg_3;10.00;0.00;0.00;tripinfo_normal_car.8 routing_normal_car.8;427.00;normal_car.8;1;6996.00;1.12;0.00;37.41;normal_car;;0;0.00
441.00;End_1;1000.00;0.00;16.68;67.00;0.34;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.16 routing_paying_car.16;374.00;paying_car.16;1;7006.00;0.97;0.00;134.11;paying_car;;0;0.00
443.00;End_1;1000.00;0.00;17.88;71.00;0.18;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.17 routing_paying_car.17;372.00;paying_car.17;1;7006.00;0.94;0.00;124.70;paying_car;;0;0.00
444.00;End_1;1000.00;0.00;17.88;75.00;0.01;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.18 routing_paying_car.18;369.00;paying_car.18;1;7006.00;0.91;0.00;116.55;paying_car;;0;0.00
446.00;End_1;1000.00;0.00;19.08;55.00;0.84;Beg_3;37.97;0.00;0.00;tripinfo_paying_car.13 routing_paying_car.13;391.00;paying_car.13;1;6968.03;0.85;0.00;114.83;paying_car;;0;0.00
447.00;End_1;1000.00;0.00;19.08;80.00;0.85;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.19 routing_paying_car.19;367.00;paying_car.19;1;7006.00;0.97;0.00;127.61;paying_car;;0;0.00
448.00;End_1;1000.00;0.00;19.08;88.00;0.51;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.21 routing_paying_car.21;360.00;paying_car.21;1;7006.00;1.09;0.00;126.44;paying_car;;0;0.00
450.00;End_1;1000.00;0.00;20.28;84.00;0.68;Beg_3;0.00;0.00;0.00;tripinfo_paying_car.20 routing_paying_car.20;366.00;paying_car.20;1;7006.00;0.96;0.00;122.58;paying_car;;0;0.00
451.00;End_1;1000.00;0.00;20.28;92.00;0.35;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.22 routing_paying_car.22;359.00;paying_car.22;1;7006.00;1.02;0.00;125.26;paying_car;;0;0.00
453.00;End_1;1000.00;0.00;21.48;100.00;0.00;Beg_1;34.30;0.00;0.00;tripinfo_hov.6 routing_hov.6;353.00;hov.6;1;6971.70;1.02;0.00;119.94;hov;;0;0.00
454.00;End_1;1000.00;0.00;21.48;100.00;0.02;Beg_1;26.70;0.00;0.00;tripinfo_paying_car.24 routing_paying_car.24;354.00;paying_car.24;1;6979.30;1.02;0.00;120.94;paying_car;;1;1.00
455.00;End_1;1000.00;0.00;21.48;96.00;0.18;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.23 routing_paying_car.23;359.00;paying_car.23;1;7006.00;0.98;0.00;120.35;paying_car;;0;0.00
457.00;End_1;1000.00;0.00;22.68;105.00;0.85;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.25 routing_paying_car.25;352.00;paying_car.25;1;7006.00;0.92;0.00;100.63;paying_car;;0;0.00
458.00;End_1;1000.00;0.00;22.68;109.00;0.68;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.26 routing_paying_car.26;349.00;paying_car.26;1;7006.00;0.91;0.00;94.27;paying_car;;0;0.00
459.00;End_1;1000.00;0.00;22.68;117.00;0.34;Beg_1;26.70;0.00;0.00;tripinfo_hov.7 routing_hov.7;342.00;hov.7;1;6979.30;0.89;0.00;85.34;hov;;0;0.00
461.00;End_1;1000.00;0.00;23.92;113.00;0.52;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.27 routing_paying_car.27;348.00;paying_car.27;1;7006.00;1.07;0.00;113.75;paying_car;;0;0.00
462.00;End_1;1000.00;0.00;24.14;117.00;0.35;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.28 routing_paying_car.28;345.00;paying_car.28;1;7006.00;0.95;0.00;101.05;paying_car;;0;0.00
464.00;End_1;1000.00;0.00;25.98;125.00;0.02;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.30 routing_paying_car.30;339.00;paying_car.30;1;7006.00;0.87;0.00;73.59;paying_car;;0;0.00
468.00;End_1;1000.00;0.00;27.25;134.00;0.67;Beg_1;26.70;0.00;0.00;tripinfo_hov.8 routing_hov.8;334.00;hov.8;1;6979.30;1.07;0.00;100.86;hov;;0;0.00
469.00;End_2;1000.00;0.00;15.39;13.00;0.93;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.7 routing_normal_car.7;456.00;normal_car.7;1;7006.00;1.03;0.00;31.46;normal_car;;0;0.00
470.00;End_2;1000.00;0.00;15.15;23.00;0.59;Beg_2;56.90;0.00;0.00;tripinfo_normal_car.13 routing_normal_car.13;447.00;normal_car.13;1;6949.10;1.01;0.00;18.66;normal_car;;0;0.00
472.00;End_1;1000.00;0.00;18.03;130.00;0.85;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.31 routing_paying_car.31;342.00;paying_car.31;1;7006.00;0.92;0.00;91.09;paying_car;;0;0.00
473.00;End_1;1000.00;0.00;18.03;134.00;0.69;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.32 routing_paying_car.32;339.00;paying_car.32;1;7006.00;0.99;0.00;103.62;paying_car;;0;0.00
474.00;End_2;1000.00;0.00;17.58;37.00;0.80;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.21 routing_normal_car.21;437.00;normal_car.21;1;7006.00;1.17;0.00;61.06;normal_car;;0;0.00
475.00;End_1;1000.00;0.00;18.33;138.00;0.52;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.33 routing_paying_car.33;337.00;paying_car.33;1;7006.00;1.02;0.00;103.22;paying_car;;0;0.00
477.00;End_1;1000.00;0.00;20.50;142.00;0.36;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.34 routing_paying_car.34;335.00;paying_car.34;1;7006.00;1.03;0.00;100.96;paying_car;;0;0.00
479.00;End_2;1000.00;0.00;14.87;16.00;0.48;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.9 routing_normal_car.9;463.00;normal_car.9;1;7006.00;0.99;0.00;24.99;normal_car;;0;0.00
