tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalPosLat,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departPosLat,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
246,End_1,1000,0,30,0,0,Beg_1,0,0,0,tripinfo_bus.0 routing_bus.0,246,bus.0,1,7006,1,0,12,bus,,0,0
260,End_1,1000,0,28.15,0,0,Beg_3,0,0,0,tripinfo_paying_car.0 routing_paying_car.0,260,paying_car.0,1,7006,0.94,0,12.97,paying_car,,0,0
281,End_2,1000,0,15.9,0,0,Beg_2,0,0,0,tripinfo_normal_car.0 routing_normal_car.0,281,normal_car.0,1,7006,1.06,0,17.01,normal_car,,0,0
282,End_2,1000,0,15.16,3,0.83,Beg_2,19.5,0,0,tripinfo_normal_car.1 routing_normal_car.1,279,normal_car.1,1,6986.5,1.01,0,13.27,normal_car,,0,0
285,End_2,1000,0,15.45,7,0.48,Beg_3,13.6,0,0,tripinfo_normal_car.3 routing_normal_car.3,278,normal_car.3,1,6992.4,1.03,0,13.37,normal_car,,0,0
287,End_2,1000,0,16.24,5,0.65,Beg_3,0,0,0,tripinfo_normal_car.2 routing_normal_car.2,282,normal_car.2,1,7006,1.08,0,19.26,normal_car,,0,0
287,End_3,1000,0,15.69,9,0.31,Beg_2,10,0,0,tripinfo_normal_car.4 routing_normal_car.4,278,normal_car.4,1,6996,1.05,0,13.98,normal_car,,0,0
295,End_2,1000,0,15.39,18,0.62,Beg_3,46.2,0,0,tripinfo_normal_car.8 routing_normal_car.8,277,normal_car.8,1,6959.8,1.03,0,12.8,normal_car,,0,0
297,End_2,1000,1.2,16.36,16,0.79,Beg_3,0,0,0,tripinfo_normal_car.7 routing_normal_car.7,281,normal_car.7,1,7006,1.09,0,18.57,normal_car,,0,0
300,End_2,1000,0,15.71,20,0.44,Beg_2,0,0,0,tripinfo_normal_car.9 routing_normal_car.9,280,normal_car.9,1,7006,1.05,0,15.7,normal_car,,0,0
300,End_3,1000,0,16.84,22,0.27,Beg_3,0,0,0,tripinfo_normal_car.10 routing_normal_car.10,278,normal_car.10,1,7006,1.12,0,18.14,normal_car,,0,0
303,End_2,1000,0,17.37,31,0.58,Beg_2,0,0,0,tripinfo_normal_car.14 routing_normal_car.14,272,normal_car.14,1,7006,1.16,0,13.79,normal_car,,0,0
306,End_1,1000,0,24.92,8,0.65,Beg_2,0,0,0,tripinfo_paying_car.1 routing_paying_car.1,298,paying_car.1,1,7006,0.83,0,22.76,paying_car,,0,0
309,End_1,1000,0,29.43,23,0.94,Beg_1,0,0,0,tripinfo_paying_car.3 routing_paying_car.3,286,paying_car.3,1,7006,0.99,0,42.62,paying_car,,0,0
314,End_2,1000,0,14.07,14,0.96,Beg_3,19.5,0,0,tripinfo_normal_car.6 routing_normal_car.6,300,normal_car.6,1,6986.5,0.94,0,17.57,normal_car,,0,0
314,End_1,1000,0,23.36,15,0.3,Beg_1,0,0,0,tripinfo_paying_car.2 routing_paying_car.2,299,paying_car.2,1,7006,0.86,0,31.12,paying_car,,0,0
316,End_1,1000,0,20.12,30,0.59,Beg_1,0,0,0,tripinfo_paying_car.4 routing_paying_car.4,286,paying_car.4,1,7006,0.94,0,38.25,paying_car,,0,0
