tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalPosLat,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departPosLat,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
263,End_1,1000,0,30,5,0,Beg_1,0,0,0,tripinfo_paying_car.1 routing_paying_car.1,258,paying_car.1,1,7006,1.03,0,23.68,paying_car,,0,0
270,End_1,1000,0,28.15,0,0,Beg_1,0,0,0,tripinfo_paying_car.0 routing_paying_car.0,270,paying_car.0,1,7006,0.94,0,22.68,paying_car,,0,0
272,End_1,1000,0,29.73,20,0,Beg_1,0,0,0,tripinfo_paying_car.4 routing_paying_car.4,252,paying_car.4,1,7006,0.99,0,15.7,paying_car,,0,0
281,End_2,1000,0,15,0,0,Beg_3,0,0,0,tripinfo_bus.0 routing_bus.0,281,bus.0,1,7006,1,0,13.25,bus,,0,0
283,End_2,1000,0,15.9,0,0,Beg_2,0,0,0,tripinfo_normal_car.0 routing_normal_car.0,283,normal_car.0,1,7006,1.06,0,19.16,normal_car,,0,0
283,End_3,1000,0,15.16,3,0.83,Beg_2,19.5,0,0,tripinfo_normal_car.1 routing_normal_car.1,280,normal_car.1,1,6986.5,1.01,0,13.67,normal_car,,0,0
285,End_2,1000,0,16.24,5,0.65,Beg_2,0,0,0,tripinfo_normal_car.2 routing_normal_car.2,280,normal_car.2,1,7006,1.08,0,17.27,normal_car,,0,0
290,End_2,1000,0,15.69,9,0.31,Beg_2,0,0,0,tripinfo_normal_car.4 routing_normal_car.4,281,normal_car.4,1,7006,1.05,0,16.32,normal_car,,0,0
292,End_1,1000,0,17.78,15,0,Beg_3,10,0,0,tripinfo_paying_car.3 routing_paying_car.3,277,paying_car.3,1,6996,1.09,0,43.23,paying_car,,0,0
295,End_1,1000,0,26.58,10,0,Beg_1,0,0,0,tripinfo_paying_car.2 routing_paying_car.2,285,paying_car.2,1,7006,0.89,0,25,paying_car,,0,0
302,End_2,1000,0,16.84,20,0.44,Beg_3,0,0,0,tripinfo_normal_car.9 routing_normal_car.9,282,normal_car.9,1,7006,1.12,0,22.21,normal_car,,0,0
304,End_1,1000,0,28.24,25,0,Beg_1,0,0,0,tripinfo_paying_car.5 routing_paying_car.5,279,paying_car.5,1,7006,0.94,0,32.28,paying_car,,0,0
308,End_2,1000,0,14.07,11,0.14,Beg_2,13.6,0,0,tripinfo_normal_car.5 routing_normal_car.5,297,normal_car.5,1,6992.4,0.94,0,13.66,normal_car,,0,0
309,End_2,1000,0,15.39,16,0.79,Beg_3,20,0,0,tripinfo_normal_car.7 routing_normal_car.7,293,normal_car.7,1,6986,1.03,0,27.97,normal_car,,0,0
309,End_3,1000,0,15.71,18,0.62,Beg_3,33.6,0,0,tripinfo_normal_car.8 routing_normal_car.8,291,normal_car.8,1,6972.4,1.05,0,27.43,normal_car,,0,0
310,End_1,1000,0,19.06,30,0,Beg_1,0,0,0,tripinfo_paying_car.6 routing_paying_car.6,280,paying_car.6,1,7006,1.02,0,46.43,paying_car,,0,0
311,End_2,1000,0,17.37,29,0.75,Beg_3,13.6,0,0,tripinfo_normal_car.13 routing_normal_car.13,282,normal_car.13,1,6992.4,1.16,0,24.44,normal_car,,0,0
313,End_1,1000,0,19.97,40,0,Beg_1,0,0,0,tripinfo_paying_car.8 routing_paying_car.8,273,paying_car.8,1,7006,0.95,0,27.96,paying_car,,0,0
314,End_1,1000,0,20.01,45,0,Beg_3,23.6,0,0,tripinfo_paying_car.9 routing_paying_car.9,269,paying_car.9,1,6982.4,1.18,0,35.85,paying_car,,0,0
323,End_2,1000,0,13.9,22,0.27,Beg_3,13.29,0,0,tripinfo_normal_car.10 routing_normal_car.10,301,normal_car.10,1,6992.71,0.93,0,15.55,normal_car,,0,0
326,End_3,1000,0,15.15,31,0.58,Beg_3,27.2,0,0,tripinfo_normal_car.14 routing_normal_car.14,295,normal_car.14,1,6978.8,1.01,0,28.6,normal_car,,0,0
326,End_2,1000,0,14.63,33,0.41,Beg_3,0,0,0,tripinfo_normal_car.15 routing_normal_car.15,293,normal_car.15,1,7006,0.98,0,18.96,normal_car,,0,0
327,End_2,1000,0,15.97,46,0.37,Beg_3,33.6,0,0,tripinfo_normal_car.21 routing_normal_car.21,281,normal_car.21,1,6972.4,1.15,0,23.61,normal_car,,0,0
328,End_3,1000,-1,16.98,42,0.71,Beg_3,0,0,0,tripinfo_normal_car.19 routing_normal_car.19,286,normal_car.19,1,7006,1.13,0,26.17,normal_car,,0,0
329,End_1,1000,0,24.77,35,0,Beg_1,0,0,0,tripinfo_paying_car.7 routing_paying_car.7,294,paying_car.7,1,7006,0.83,0,17.42,paying_car,,0,0
