tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalPosLat,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departPosLat,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
246,End_1,1000,0,30,0,0,Beg_1,7.6,0,0,tripinfo_hov.0 routing_hov.0,246,hov.0,1,6998.4,1.01,0,12,hov,,0,0
258,End_1,1000,-0.25,30,0,0,Beg_1,0,0,0,tripinfo_bus.0 routing_bus.0,258,bus.0,1,7006,1,0,23.91,bus,,1,1
273,End_1,1000,0,30,8,0.65,Beg_3,19.5,0,0,tripinfo_paying_car.1 routing_paying_car.1,265,paying_car.1,1,6986.5,1.05,0,31.77,paying_car,,0,0
278,End_2,1000,0,16.24,3,0.62,Beg_2,19.5,0,0,tripinfo_normal_car.1 routing_normal_car.1,275,normal_car.1,1,6986.5,1.08,0,13.32,normal_car,,0,0
281,End_2,1000,0,15.9,0,0,Beg_2,0,0,0,tripinfo_normal_car.0 routing_normal_car.0,281,normal_car.0,1,7006,1.06,0,16.92,normal_car,,0,0
282,End_1,1000,0,16.68,0,0,Beg_3,0,0,0,tripinfo_paying_car.0 routing_paying_car.0,282,paying_car.0,1,7006,0.94,0,34.94,paying_car,,0,0
287,End_2,1000,0,15.45,5,0.24,Beg_3,0,0,0,tripinfo_normal_car.2 routing_normal_car.2,282,normal_car.2,1,7006,1.03,0,16.65,normal_car,,0,0
288,End_1,1000,0,18.92,15,0.3,Beg_1,0,0,0,tripinfo_paying_car.2 routing_paying_car.2,273,paying_car.2,1,7006,1.09,0,39.34,paying_car,,0,0
296,End_2,1000,0,15.39,17,0.34,Beg_3,31.7,0,0,tripinfo_normal_car.7 routing_normal_car.7,279,normal_car.7,1,6974.3,1.03,0,14.36,normal_car,,0,0
298,End_1,1000,0,19.76,30,0.59,Beg_1,0,0,0,tripinfo_paying_car.4 routing_paying_car.4,268,paying_car.4,1,7006,0.94,0,20.67,paying_car,,1,1
300,End_1,1000,0,21.26,23,0.94,Beg_3,0,0,0,tripinfo_paying_car.3 routing_paying_car.3,277,paying_car.3,1,7006,0.99,0,41.12,paying_car,,0,0
303,End_1,1000,-0.25,30,50,0,Beg_1,0,0,0,tripinfo_bus.1 routing_bus.1,253,bus.1,1,7006,1,0,19.24,bus,,0,0
308,End_2,1000,0,14.07,12,0.1,Beg_2,27.2,0,0,tripinfo_normal_car.5 routing_normal_car.5,296,normal_car.5,1,6978.8,0.94,0,13.12,normal_car,,0,0
308,End_1,1000,0,26.69,37,0.24,Beg_3,10,0,0,tripinfo_paying_car.5 routing_paying_car.5,271,paying_car.5,1,6996,0.89,0,12.88,paying_car,,0,0
309,End_2,1000,0,15.71,20,0.96,Beg_2,0,0,0,tripinfo_normal_car.8 routing_normal_car.8,289,normal_car.8,1,7006,1.05,0,24.78,normal_car,,0,0
313,End_2,1000,0,15.27,31,0.06,Beg_3,56.2,0,0,tripinfo_normal_car.13 routing_normal_car.13,282,normal_car.13,1,6949.8,1.02,0,17.15,normal_car,,0,0
314,End_3,1000,-1,16.84,22,0.58,Beg_2,13.6,0,0,tripinfo_normal_car.9 routing_normal_car.9,292,normal_car.9,1,6992.4,1.12,0,31.88,normal_car,,0,0
315,End_2,1000,0,15.15,34,0.68,Beg_2,0,0,0,tripinfo_normal_car.14 routing_normal_car.14,281,normal_car.14,1,7006,1.01,0,14.63,normal_car,,0,0
315,End_1,1000,0,30,59,0.18,Beg_1,0,0,0,tripinfo_paying_car.8 routing_paying_car.8,256,paying_car.8,1,7006,1.02,0,21.82,paying_car,,1,1
322,End_1,1000,0,28.47,45,0.89,Beg_3,13.6,0,0,tripinfo_paying_car.6 routing_paying_car.6,277,paying_car.6,1,6992.4,0.95,0,32.86,paying_car,,0,0
323,End_2,1000,0,13.29,10,0.48,Beg_2,13.6,0,0,tripinfo_normal_car.4 routing_normal_car.4,313,normal_car.4,1,6992.4,0.89,0,15.92,normal_car,,0,0
325,End_1,1000,0,30,52,0.54,Beg_1,13.6,0,0,tripinfo_paying_car.7 routing_paying_car.7,273,paying_car.7,1,6992.4,1.15,0,39.18,paying_car,,0,0
326,End_2,1000,0,14.12,29,0.44,Beg_3,0,0,0,tripinfo_normal_car.12 routing_normal_car.12,297,normal_car.12,1,7006,0.94,0,14.82,normal_car,,0,0
328,End_3,1000,0,17.37,30,0.59,Beg_1,7.6,0,0,tripinfo_hov.1 routing_hov.1,298,hov.1,1,6998.4,1.16,0,39.82,hov,,0,0
328,End_2,1000,0,16.98,46,0.78,Beg_3,23.6,0,0,tripinfo_normal_car.19 routing_normal_car.19,282,normal_car.19,1,6982.4,1.13,0,22.86,normal_car,,0,0
