tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
277.00;End_1;1000.00;0.00;15.90;0.00;0.00;Beg_1;0.00;0.00;0.00;tripinfo_normal_car.0 routing_normal_car.0;277.00;normal_car.0;1;7006.00;1.06;0.00;13.10;normal_car;;0;0.00
281.00;End_1;1000.00;0.00;15.00;0.00;0.00;Beg_2;0.00;0.00;0.00;tripinfo_bus.0 routing_bus.0;281.00;bus.0;1;7006.00;1.00;0.00;13.25;bus;;0;0.00
283.00;End_1;1000.00;0.00;15.16;3.00;0.06;Beg_3;10.00;0.00;0.00;tripinfo_normal_car.2 routing_normal_car.2;280.00;normal_car.2;1;6996.00;1.01;0.00;13.64;normal_car;;0;0.00
285.00;End_1;1000.00;0.00;16.24;5.00;0.59;Beg_1;0.00;0.00;0.00;tripinfo_normal_car.3 routing_normal_car.3;280.00;normal_car.3;1;7006.00;1.08;0.00;17.50;normal_car;;0;0.00
286.00;End_2;1000.00;-1.00;15.45;6.00;0.12;Beg_1;10.00;0.00;0.00;tripinfo_normal_car.4 routing_normal_car.4;280.00;normal_car.4;1;6996.00;1.03;0.00;14.36;normal_car;;0;0.00
289.00;End_1;1000.00;0.00;15.69;9.00;0.18;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.6 routing_normal_car.6;280.00;normal_car.6;1;7006.00;1.05;0.00;15.05;normal_car;;0;0.00
292.00;End_1;1000.00;0.00;16.36;15.00;0.30;Beg_2;10.00;0.00;0.00;tripinfo_normal_car.10 routing_normal_car.10;277.00;normal_car.10;1;6996.00;1.09;0.00;14.66;normal_car;;0;0.00
298.00;End_1;1000.00;0.00;15.39;17.00;0.83;Beg_1;0.00;0.00;0.00;tripinfo_normal_car.11 routing_normal_car.11;281.00;normal_car.11;1;7006.00;1.03;0.00;14.65;normal_car;;0;0.00
298.00;End_2;1000.00;0.00;16.84;20.00;0.89;Beg_3;13.60;0.00;0.00;tripinfo_normal_car.13 routing_normal_car.13;278.00;normal_car.13;1;6992.40;1.12;0.00;17.99;normal_car;;0;0.00
300.00;End_1;1000.00;0.00;14.07;2.00;0.53;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.1 routing_normal_car.1;298.00;normal_car.1;1;7006.00;0.94;0.00;15.09;normal_car;;0;0.00
303.00;End_1;1000.00;0.00;15.71;18.00;0.36;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.12 routing_normal_car.12;285.00;normal_car.12;1;7006.00;1.05;0.00;20.14;normal_car;;0;0.00
308.00;End_1;1000.00;0.00;14.07;12.00;0.24;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.8 routing_normal_car.8;296.00;normal_car.8;1;7006.00;0.94;0.00;13.18;normal_car;;0;0.00
308.00;End_2;1000.00;0.00;14.87;21.00;0.42;Beg_1;0.00;0.00;0.00;tripinfo_normal_car.14 routing_normal_car.14;287.00;normal_car.14;1;7006.00;0.99;0.00;17.63;normal_car;;0;0.00
310.00;End_1;1000.00;0.00;16.47;28.00;0.07;Beg_1;0.00;0.00;0.00;tripinfo_normal_car.19 routing_normal_car.19;282.00;normal_car.19;1;7006.00;1.16;0.00;23.52;normal_car;;0;0.00
312.00;End_1;1000.00;0.00;15.15;31.00;0.13;Beg_3;40.30;0.00;0.00;tripinfo_normal_car.21 routing_normal_car.21;281.00;normal_car.21;1;6965.70;1.01;0.00;15.05;normal_car;;0;0.00
315.00;End_1;1000.00;0.00;15.27;30.00;0.60;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.20 routing_normal_car.20;285.00;normal_car.20;1;7006.00;1.02;0.00;18.29;normal_car;;0;0.00
319.00;End_1;1000.00;0.00;16.98;42.00;0.84;Beg_1;19.50;0.00;0.00;tripinfo_normal_car.28 routing_normal_car.28;277.00;normal_car.28;1;6986.50;1.13;0.00;18.30;normal_car;;0;0.00
324.00;End_1;1000.00;0.00;13.29;11.00;0.71;Beg_1;0.00;0.00;0.00;tripinfo_normal_car.7 routing_normal_car.7;313.00;normal_car.7;1;7006.00;0.89;0.00;15.10;normal_car;;0;0.00
325.00;End_1;1000.00;0.00;13.90;23.00;0.95;Beg_1;13.60;0.00;0.00;tripinfo_normal_car.15 routing_normal_car.15;302.00;normal_car.15;1;6992.40;0.93;0.00;16.57;normal_car;;0;0.00
330.00;End_2;1000.00;-0.80;17.58;49.00;0.49;Beg_1;0.00;0.00;0.00;tripinfo_normal_car.33 routing_normal_car.33;281.00;normal_car.33;1;7006.00;1.17;0.00;22.80;normal_car;;0;0.00
331.00;End_1;1000.00;0.00;14.04;27.00;0.54;Beg_3;13.60;0.00;0.00;tripinfo_normal_car.18 routing_normal_car.18;304.00;normal_car.18;1;6992.40;0.94;0.00;20.36;normal_car;;0;0.00
331.00;End_2;1000.00;0.00;14.63;33.00;0.66;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.22 routing_normal_car.22;298.00;normal_car.22;1;7006.00;0.98;0.00;24.04;normal_car;;0;0.00
332.00;End_2;1000.00;0.10;16.63;45.00;0.90;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.30 routing_normal_car.30;287.00;normal_car.30;1;7006.00;1.18;0.00;30.07;normal_car;;0;0.00
332.00;End_1;1000.00;-0.25;15.00;50.00;0.00;Beg_2;17.60;0.00;0.00;tripinfo_bus.1 routing_bus.1;282.00;bus.1;1;6988.40;1.00;0.00;15.33;bus;;0;0.00
332.00;End_3;1000.00;0.00;17.69;55.00;0.61;Beg_3;73.30;0.00;0.00;tripinfo_normal_car.37 routing_normal_car.37;277.00;normal_car.37;1;6932.70;1.18;0.00;22.32;normal_car;;0;0.00
