tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalPosLat,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departPosLat,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
246,End_1,1000,-0.25,30,0,0,Beg_1,0,0,0,tripinfo_bus.0 routing_bus.0,246,bus.0,1,7006,1,0,12,bus,,0,0
277,End_2,1000,0,15.9,0,0,Beg_2,0,0,0,tripinfo_normal_car.0 routing_normal_car.0,277,normal_car.0,1,7006,1.06,0,13.1,normal_car,,0,0
284,End_2,1000,0,15.16,4,0.67,Beg_3,13.6,0,0,tripinfo_normal_car.2 routing_normal_car.2,280,normal_car.2,1,6992.4,1.01,0,13.35,normal_car,,0,0
286,End_2,1000,0,15.45,7,0.34,Beg_2,13.6,0,0,tripinfo_normal_car.4 routing_normal_car.4,279,normal_car.4,1,6992.4,1.03,0,14.09,normal_car,,0,0
288,End_2,1000,0,16.24,5,0,Beg_2,0,0,0,tripinfo_normal_car.3 routing_normal_car.3,283,normal_car.3,1,7006,1.08,0,20.19,normal_car,,0,0
289,End_2,1000,0,15.69,10,0,Beg_3,10,0,0,tripinfo_normal_car.6 routing_normal_car.6,279,normal_car.6,1,6996,1.05,0,15.01,normal_car,,0,0
293,End_2,1000,0,16.36,17,0.34,Beg_3,13.6,0,0,tripinfo_normal_car.10 routing_normal_car.10,276,normal_car.10,1,6992.4,1.09,0,14.44,normal_car,,0,0
299,End_2,1000,0,15.71,20,0.01,Beg_2,10,0,0,tripinfo_normal_car.12 routing_normal_car.12,279,normal_car.12,1,6996,1.05,0,14.36,normal_car,,0,0
299,End_1,1000,-0.25,30,50,0,Beg_1,0,0,0,tripinfo_bus.1 routing_bus.1,249,bus.1,1,7006,1,0,15.31,bus,,0,0
301,End_2,1000,0,14.07,2,0.33,Beg_3,0,0,0,tripinfo_normal_car.1 routing_normal_car.1,299,normal_car.1,1,7006,0.94,0,15.97,normal_car,,0,0
302,End_3,1000,-1,15.39,19,0.67,Beg_2,0,0,0,tripinfo_normal_car.11 routing_normal_car.11,283,normal_car.11,1,7006,1.03,0,16.6,normal_car,,0,0
311,End_2,1000,0,14.07,14,0.67,Beg_2,13.6,0,0,tripinfo_normal_car.8 routing_normal_car.8,297,normal_car.8,1,6992.4,0.94,0,14.03,normal_car,,0,0
316,End_2,1000,0,14.87,24,0.68,Beg_3,13.6,0,0,tripinfo_normal_car.14 routing_normal_car.14,292,normal_car.14,1,6992.4,0.99,0,22.2,normal_car,,0,0
320,End_2,1000,0,16.84,22,0.34,Beg_3,0,0,0,tripinfo_normal_car.13 routing_normal_car.13,298,normal_car.13,1,7006,1.12,0,37.69,normal_car,,0,0
321,End_2,1000,0,15.15,35,0.01,Beg_2,23.6,0,0,tripinfo_normal_car.21 routing_normal_car.21,286,normal_car.21,1,6982.4,1.01,0,20.09,normal_car,,0,0
327,End_2,1000,0,13.29,12,0.34,Beg_2,0,0,0,tripinfo_normal_car.7 routing_normal_car.7,315,normal_car.7,1,7006,0.89,0,16.73,normal_car,,0,0
327,End_3,1000,0,14.12,29,0.68,Beg_3,50.3,0,0,tripinfo_normal_car.17 routing_normal_car.17,298,normal_car.17,1,6955.7,0.94,0,17.99,normal_car,,0,0
328,End_2,1000,0,14.04,30,0.01,Beg_3,60.3,0,0,tripinfo_normal_car.18 routing_normal_car.18,298,normal_car.18,1,6945.7,0.94,0,16.56,normal_car,,0,0
329,End_3,1000,-1,16.61,50,0.02,Beg_2,23.6,0,0,tripinfo_normal_car.30 routing_normal_car.30,279,normal_car.30,1,6982.4,1.18,0,22.32,normal_car,,0,0
330,End_2,1000,0,14.93,47,0.35,Beg_2,0,0,0,tripinfo_normal_car.28 routing_normal_car.28,283,normal_car.28,1,7006,1.13,0,23.01,normal_car,,0,0
332,End_2,1000,0,13.9,25,0.01,Beg_3,23.6,0,0,tripinfo_normal_car.15 routing_normal_car.15,307,normal_car.15,1,6982.4,0.93,0,21.21,normal_car,,0,0
335,End_3,1000,0,15.27,34,0.68,Beg_2,13.6,0,0,tripinfo_normal_car.20 routing_normal_car.20,301,normal_car.20,1,6992.4,1.02,0,35.21,normal_car,,0,0
335,End_2,1000,0,14.63,37,0.35,Beg_3,0,0,0,tripinfo_normal_car.22 routing_normal_car.22,298,normal_car.22,1,7006,0.98,0,24.12,normal_car,,0,0
339,End_2,1000,0,12.47,9,0.67,Beg_3,0,0,0,tripinfo_normal_car.5 routing_normal_car.5,330,normal_car.5,1,7006,0.83,0,15.19,normal_car,,0,0
341,End_2,1000,0,12.85,15,0.01,Beg_3,0,0,0,tripinfo_normal_car.9 routing_normal_car.9,326,normal_car.9,1,7006,0.86,0,19.45,normal_car,,0,0
341,End_3,1000,0,14.23,45,0.02,Beg_3,29.95,0,0,tripinfo_normal_car.27 routing_normal_car.27,296,normal_car.27,1,6976.05,0.95,0,16.42,normal_car,,0,0
345,End_2,1000,0,13.18,27,0.34,Beg_3,0,0,0,tripinfo_normal_car.16 routing_normal_car.16,318,normal_car.16,1,7006,0.88,0,18.08,normal_car,,0,0
345,End_3,1000,0,15.08,54,0.69,Beg_3,13.6,0,0,tripinfo_normal_car.32 routing_normal_car.32,291,normal_car.32,1,6992.4,1.01,0,23.79,normal_car,,0,0
347,End_2,1000,0,14.92,57,0.36,Beg_3,0,0,0,tripinfo_normal_car.34 routing_normal_car.34,290,normal_car.34,1,7006,0.99,0,20.9,normal_car,,0,0
348,End_2,1000,0.1,15.63,52,0.35,Beg_3,0,0,0,tripinfo_normal_car.31 routing_normal_car.31,296,normal_car.31,1,7006,1.15,0,37.42,normal_car,,0,0
348,End_3,1000,0,15.3,59,0.69,Beg_3,50.3,0,0,tripinfo_normal_car.35 routing_normal_car.35,289,normal_car.35,1,6955.7,1.02,0,24.36,normal_car,,0,0
349,End_3,1000,0,16.38,70,0.03,Beg_3,41.57,0,0,tripinfo_normal_car.42 routing_normal_car.42,279,normal_car.42,1,6964.43,1.09,0,18.91,normal_car,,0,0
350,End_2,1000,0,13.34,39,0.68,Beg_3,31.57,0,0,tripinfo_normal_car.23 routing_normal_car.23,311,normal_car.23,1,6974.43,0.89,0,15.4,normal_car,,0,0
351,End_3,1000,-1,17.58,55,0.02,Beg_3,23.6,0,0,tripinfo_normal_car.33 routing_normal_car.33,296,normal_car.33,1,6982.4,1.17,0,38.77,normal_car,,0,0
352,End_2,1000,0,13.97,49,0.69,Beg_2,13.6,0,0,tripinfo_normal_car.29 routing_normal_car.29,303,normal_car.29,1,6992.4,0.93,0,18.15,normal_car,,0,0
353,End_2,1000,0,13.76,44,0.68,Beg_3,0,0,0,tripinfo_normal_car.26 routing_normal_car.26,309,normal_car.26,1,7006,0.92,0,20.23,normal_car,,0,0
355,End_2,1000,0,14.6,60,0.02,Beg_3,60.3,0,0,tripinfo_normal_car.36 routing_normal_car.36,295,normal_car.36,1,6945.7,0.97,0,23.05,normal_car,,0,0
359,End_2,1000,0,16.53,64,0.69,Beg_2,13.6,0,0,tripinfo_normal_car.38 routing_normal_car.38,295,normal_car.38,1,6992.4,1.1,0,33.91,normal_car,,0,0
359,End_1,1000,-0.25,30,100,0,Beg_1,0,0,0,tripinfo_bus.2 routing_bus.2,259,bus.2,1,7006,1,0,24.75,bus,,0,0
365,End_3,1000,0,14.36,69,0.69,Beg_3,31.57,0,0,tripinfo_normal_car.41 routing_normal_car.41,296,normal_car.41,1,6974.43,0.96,0,19.21,normal_car,,0,0
366,End_2,1000,0,13.09,42,0.35,Beg_2,0,0,0,tripinfo_normal_car.25 routing_normal_car.25,324,normal_car.25,1,7006,0.87,0,21.76,normal_car,,0,0
367,End_3,1000,-1,16.76,62,0.36,Beg_2,0,0,0,tripinfo_normal_car.37 routing_normal_car.37,305,normal_car.37,1,7006,1.18,0,47.1,normal_car,,0,0
368,End_3,1000,-1,15.57,72,0.36,Beg_2,0,0,0,tripinfo_normal_car.43 routing_normal_car.43,296,normal_car.43,1,7006,1.04,0,30.88,normal_car,,0,0
369,End_2,1000,0,12.38,40,0.02,Beg_3,41.57,0,0,tripinfo_normal_car.24 routing_normal_car.24,329,normal_car.24,1,6964.43,0.83,0,13.42,normal_car,,0,0
369,End_3,1000,0,16.76,85,0.03,Beg_2,23.6,0,0,tripinfo_normal_car.51 routing_normal_car.51,284,normal_car.51,1,6982.4,1.17,0,27.1,normal_car,,0,0
371,End_2,1000,0.1,14.78,32,0.35,Beg_2,0,0,0,tripinfo_normal_car.19 routing_normal_car.19,339,normal_car.19,1,7006,1.16,0,80.37,normal_car,,0,0
371,End_3,1000,0,16.32,75,0.03,Beg_3,0,0,0,tripinfo_normal_car.45 routing_normal_car.45,296,normal_car.45,1,7006,1.09,0,33.83,normal_car,,0,0
372,End_2,1000,0,14.78,67,0.36,Beg_3,0,0,0,tripinfo_normal_car.40 routing_normal_car.40,305,normal_car.40,1,7006,1.03,0,39.63,normal_car,,0,0
373,End_3,1000,-1,15.05,90,0.04,Beg_2,23.6,0,0,tripinfo_normal_car.54 routing_normal_car.54,283,normal_car.54,1,6982.4,1,0,15.97,normal_car,,0,0
374,End_2,1000,0,15.26,74,0.7,Beg_2,40.17,0,0,tripinfo_normal_car.44 routing_normal_car.44,300,normal_car.44,1,6965.83,1.04,0,36.29,normal_car,,0,0
374,End_3,1000,0,16.25,95,0.04,Beg_2,32.2,0,0,tripinfo_normal_car.57 routing_normal_car.57,279,normal_car.57,1,6973.8,1.14,0,20.89,normal_car,,0,0
375,End_2,1000,0,13.51,65,0.03,Beg_2,23.6,0,0,tripinfo_normal_car.39 routing_normal_car.39,310,normal_car.39,1,6982.4,0.9,0,17.74,normal_car,,0,0
375,End_3,1000,0,16.22,89,0.7,Beg_2,13.6,0,0,tripinfo_normal_car.53 routing_normal_car.53,286,normal_car.53,1,6992.4,1.1,0,25.21,normal_car,,0,0
