tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
334.00;End_3;1000.00;0.00;17.37;28.00;0.07;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.19 routing_normal_car.19;306.00;normal_car.19;1;7006.00;1.16;0.00;47.40;normal_car;;0;0.00
336.00;End_2;1000.00;0.00;13.29;11.00;0.71;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.7 routing_normal_car.7;325.00;normal_car.7;1;7006.00;0.89;0.00;26.97;normal_car;;0;0.00
343.00;End_3;1000.00;0.00;13.18;24.00;0.48;Beg_2;44.44;0.00;0.00;tripinfo_normal_car.16 routing_normal_car.16;319.00;normal_car.16;1;6961.56;0.88;0.00;20.32;normal_car;;0;0.00
344.00;End_2;1000.00;0.00;12.47;8.00;0.65;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.5 routing_normal_car.5;336.00;normal_car.5;1;7006.00;0.83;0.00;21.03;normal_car;;0;0.00
344.00;End_3;1000.00;0.00;14.38;48.00;0.96;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.32 routing_normal_car.32;296.00;normal_car.32;1;7006.00;1.01;0.00;29.11;normal_car;;0;0.00
346.00;End_2;1000.00;0.00;13.90;23.00;0.95;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.15 routing_normal_car.15;323.00;normal_car.15;1;7006.00;0.93;0.00;36.26;normal_car;;0;0.00
346.00;End_3;1000.00;0.00;15.58;45.00;0.90;Beg_3;13.60;0.00;0.00;tripinfo_normal_car.30 routing_normal_car.30;301.00;normal_car.30;1;6992.40;1.18;0.00;43.98;normal_car;;0;0.00
346.00;End_1;1000.00;-0.25;30.00;100.00;0.00;Beg_3;337.30;0.00;0.00;tripinfo_bus.2 routing_bus.2;246.00;bus.2;1;6668.70;1.00;0.00;19.79;bus;;0;0.00
347.00;End_2;1000.00;0.00;14.23;40.00;0.31;Beg_3;39.00;0.00;0.00;tripinfo_normal_car.27 routing_normal_car.27;307.00;normal_car.27;1;6967.00;0.95;0.00;28.09;normal_car;;0;0.00
347.00;End_3;1000.00;0.00;14.60;53.00;0.08;Beg_2;152.50;0.00;0.00;tripinfo_normal_car.36 routing_normal_car.36;294.00;normal_car.36;1;6853.50;0.97;0.00;25.41;normal_car;;0;0.00
349.00;End_3;1000.00;0.00;14.92;50.00;0.02;Beg_3;50.30;0.00;0.00;tripinfo_normal_car.34 routing_normal_car.34;299.00;normal_car.34;1;6955.70;0.99;0.00;31.45;normal_car;;0;0.00
349.00;End_2;1000.00;0.00;15.30;52.00;0.55;Beg_2;13.60;0.00;0.00;tripinfo_normal_car.35 routing_normal_car.35;297.00;normal_car.35;1;6992.40;1.02;0.00;30.67;normal_car;;0;0.00
350.00;End_3;1000.00;0.00;15.46;59.00;0.20;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.40 routing_normal_car.40;291.00;normal_car.40;1;7006.00;1.03;0.00;25.59;normal_car;;0;0.00
350.00;End_2;1000.00;0.00;15.57;64.00;0.79;Beg_3;70.50;0.00;0.00;tripinfo_normal_car.43 routing_normal_car.43;286.00;normal_car.43;1;6935.50;1.04;0.00;23.07;normal_car;;0;0.00
351.00;End_2;1000.00;0.00;16.07;62.00;0.26;Beg_2;19.50;0.00;0.00;tripinfo_normal_car.42 routing_normal_car.42;289.00;normal_car.42;1;6986.50;1.09;0.00;28.19;normal_car;;0;0.00
352.00;End_3;1000.00;-1.00;16.98;42.00;0.84;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.28 routing_normal_car.28;310.00;normal_car.28;1;7006.00;1.13;0.00;49.89;normal_car;;0;0.00
353.00;End_2;1000.00;0.00;13.97;43.00;0.37;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.29 routing_normal_car.29;310.00;normal_car.29;1;7006.00;0.93;0.00;25.28;normal_car;;0;0.00
353.00;End_3;1000.00;0.00;16.53;56.00;0.14;Beg_3;10.00;0.00;0.00;tripinfo_normal_car.38 routing_normal_car.38;297.00;normal_car.38;1;6996.00;1.10;0.00;35.99;normal_car;;0;0.00
359.00;End_3;1000.00;0.00;17.69;55.00;0.61;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.37 routing_normal_car.37;304.00;normal_car.37;1;7006.00;1.18;0.00;46.55;normal_car;;0;0.00
359.00;End_2;1000.00;0.00;16.32;67.00;0.85;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.45 routing_normal_car.45;292.00;normal_car.45;1;7006.00;1.09;0.00;29.55;normal_car;;0;0.00
363.00;End_2;1000.00;0.00;13.34;34.00;0.19;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.23 routing_normal_car.23;329.00;normal_car.23;1;7006.00;0.89;0.00;31.89;normal_car;;0;0.00
365.00;End_2;1000.00;1.20;14.36;61.00;0.73;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.41 routing_normal_car.41;304.00;normal_car.41;1;7006.00;0.96;0.00;26.06;normal_car;;0;0.00
