Value,State,Volume
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
558,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
557,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
556,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
555,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
554,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
553,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
552,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
551,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
550,"1,1",High
