tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalPosLat,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departPosLat,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
246,End_1,1000,0,30,0,0,Beg_1,0,0,0,tripinfo_bus.0 routing_bus.0,246,bus.0,1,7006,1,0,12,bus,,0,0
254,End_1,1000,0,30,3,0.22,Beg_3,19.5,0,0,tripinfo_paying_car.1 routing_paying_car.1,251,paying_car.1,1,6986.5,1.08,0,17.25,paying_car,,0,0
272,End_1,1000,0,28.15,0,0,Beg_3,0,0,0,tripinfo_paying_car.0 routing_paying_car.0,272,paying_car.0,1,7006,0.94,0,25,paying_car,,0,0
295,End_1,1000,0,25.71,9,0.67,Beg_1,19.5,0,0,tripinfo_paying_car.3 routing_paying_car.3,286,paying_car.3,1,6986.5,0.86,0,18.73,paying_car,,0,0
296,End_1,1000,0,26.91,6,0.45,Beg_1,0,0,0,tripinfo_paying_car.2 routing_paying_car.2,290,paying_car.2,1,7006,1.05,0,55.9,paying_car,,0,0
297,End_1,1000,0,26.91,14,0.12,Beg_1,13.6,0,0,tripinfo_paying_car.5 routing_paying_car.5,283,paying_car.5,1,6992.4,0.99,0,47.82,paying_car,,0,0
298,End_1,1000,0,26.91,17,0.34,Beg_3,0,0,0,tripinfo_paying_car.6 routing_paying_car.6,281,paying_car.6,1,7006,0.94,0,34.94,paying_car,,0,0
300,End_1,1000,0,28.11,12,0.89,Beg_1,0,0,0,tripinfo_paying_car.4 routing_paying_car.4,288,paying_car.4,1,7006,1.05,0,51.87,paying_car,,0,0
301,End_1,1000,0,28.11,28,0.23,Beg_1,55.6,0,0,tripinfo_paying_car.10 routing_paying_car.10,273,paying_car.10,1,6950.4,1.13,0,40.82,paying_car,,0,0
302,End_1,1000,0,26.69,23,0.78,Beg_1,19.5,0,0,tripinfo_paying_car.8 routing_paying_car.8,279,paying_car.8,1,6986.5,0.89,0,21.07,paying_car,,0,0
304,End_1,1000,0,29.09,20,0.56,Beg_1,0,0,0,tripinfo_paying_car.7 routing_paying_car.7,284,paying_car.7,1,7006,1.02,0,49.51,paying_car,,0,0
305,End_1,1000,0,29.09,34,0.68,Beg_1,19.5,0,0,tripinfo_paying_car.12 routing_paying_car.12,271,paying_car.12,1,6986.5,0.99,0,36.37,paying_car,,0,0
306,End_1,1000,0,29.09,31,0.45,Beg_1,0,0,0,tripinfo_paying_car.11 routing_paying_car.11,275,paying_car.11,1,7006,1.15,0,41.01,paying_car,,0,0
312,End_1,1000,0,27.52,25,0.01,Beg_1,0,0,0,tripinfo_paying_car.9 routing_paying_car.9,287,paying_car.9,1,7006,0.92,0,33.4,paying_car,,0,0
314,End_1,1000,0,29.92,50,0.01,Beg_1,96.6,0,0,tripinfo_paying_car.18 routing_paying_car.18,264,paying_car.18,1,6909.4,1.17,0,32.9,paying_car,,0,0
315,End_1,1000,0,29.92,45,0.57,Beg_1,60.5,0,0,tripinfo_paying_car.16 routing_paying_car.16,270,paying_car.16,1,6945.5,1.09,0,37.94,paying_car,,0,0
333,End_1,1000,0,27.02,39,0.12,Beg_1,13.6,0,0,tripinfo_paying_car.14 routing_paying_car.14,294,paying_car.14,1,6992.4,0.9,0,37.88,paying_car,,0,0
334,End_1,1000,0,28.22,37,0.9,Beg_1,0,0,0,tripinfo_paying_car.13 routing_paying_car.13,297,paying_car.13,1,7006,1.18,0,62.82,paying_car,,0,0
355,End_1,1000,0,26.31,48,0.79,Beg_1,0,0,0,tripinfo_paying_car.17 routing_paying_car.17,307,paying_car.17,1,7006,0.88,0,44.91,paying_car,,0,0
356,End_1,1000,0,27.51,53,0.24,Beg_1,0,0,0,tripinfo_paying_car.19 routing_paying_car.19,303,paying_car.19,1,7006,1.1,0,69.33,paying_car,,0,0
365,End_1,1000,0,26.97,56,0.46,Beg_2,0,0,0,tripinfo_paying_car.20 routing_paying_car.20,309,paying_car.20,1,7006,0.9,0,52.22,paying_car,,0,0
366,End_1,1000,-0.25,28.17,50,0,Beg_1,23.6,0,0,tripinfo_bus.1 routing_bus.1,316,bus.1,1,6982.4,1,0,75.89,bus,,0,0
379,End_1,1000,0,30,62,0.91,Beg_1,19.5,0,0,tripinfo_paying_car.22 routing_paying_car.22,317,paying_car.22,1,6986.5,1.02,0,83.62,paying_car,,0,0
391,End_1,1000,0,29.09,59,0.68,Beg_1,0,0,0,tripinfo_paying_car.21 routing_paying_car.21,332,paying_car.21,1,7006,0.97,0,91.34,paying_car,,0,0
401,End_1,1000,0,28.13,64,0.13,Beg_1,0,0,0,tripinfo_paying_car.23 routing_paying_car.23,337,paying_car.23,1,7006,0.94,0,89.19,paying_car,,0,0
406,End_1,1000,0,30,73,0.8,Beg_1,19.5,0,0,tripinfo_paying_car.26 routing_paying_car.26,333,paying_car.26,1,6986.5,1.06,0,99.28,paying_car,,0,0
416,End_1,1000,0,30,95,0.58,Beg_3,502.68,0,0,tripinfo_paying_car.34 routing_paying_car.34,321,paying_car.34,1,6503.32,1.06,0,103.25,paying_car,,0,0
440,End_2,1000,0,16.36,10,0.63,Beg_2,13.6,0,0,tripinfo_normal_car.6 routing_normal_car.6,430,normal_car.6,1,6992.4,1.09,0,29.54,normal_car,,0,0
441,End_1,1000,0,18.2,78,0.24,Beg_1,0,0,0,tripinfo_paying_car.28 routing_paying_car.28,363,paying_car.28,1,7006,1.01,0,129.34,paying_car,,0,0
443,End_1,1000,0,20.13,70,0.58,Beg_1,0,0,0,tripinfo_paying_car.25 routing_paying_car.25,373,paying_car.25,1,7006,1.02,0,139.04,paying_car,,0,0
445,End_1,1000,0,24.93,87,0.91,Beg_1,0,0,0,tripinfo_paying_car.31 routing_paying_car.31,358,paying_car.31,1,7006,1.04,0,124.27,paying_car,,0,0
449,End_2,1000,0,16.84,13,0.5,Beg_2,0,0,0,tripinfo_normal_car.8 routing_normal_car.8,436,normal_car.8,1,7006,1.12,0,44.99,normal_car,,0,0
450,End_2,1000,0,15.45,4,0.88,Beg_2,27.2,0,0,tripinfo_normal_car.2 routing_normal_car.2,446,normal_car.2,1,6978.8,1.03,0,24.52,normal_car,,0,0
452,End_2,1000,0,15.9,0,0,Beg_2,0,0,0,tripinfo_normal_car.0 routing_normal_car.0,452,normal_car.0,1,7006,1.06,0,40.21,normal_car,,0,0
452,End_1,1000,0,23.7,67,0.35,Beg_3,16.1,0,0,tripinfo_paying_car.24 routing_paying_car.24,385,paying_car.24,1,6989.9,0.91,0,132.47,paying_car,,0,0
454,End_1,1000,0,19.99,81,0.47,Beg_2,0,0,0,tripinfo_paying_car.29 routing_paying_car.29,373,paying_car.29,1,7006,1,0,138.51,paying_car,,0,0
455,End_1,1000,0,20.03,84,0.69,Beg_3,50.3,0,0,tripinfo_paying_car.30 routing_paying_car.30,371,paying_car.30,1,6955.7,1.15,0,138.82,paying_car,,0,0
456,End_1,1000,0,20.37,103,0.25,Beg_1,50.7,0,0,tripinfo_paying_car.37 routing_paying_car.37,353,paying_car.37,1,6955.3,0.95,0,111.15,paying_car,,0,0
459,End_2,1000,0,15.16,2,0.44,Beg_2,13.6,0,0,tripinfo_normal_car.1 routing_normal_car.1,457,normal_car.1,1,6992.4,1.01,0,27.44,normal_car,,0,0
459,End_1,1000,0,23.66,100,0.03,Beg_1,31.2,0,0,tripinfo_paying_car.36 routing_paying_car.36,359,paying_car.36,1,6974.8,0.96,0,116.87,paying_car,,0,0
461,End_1,1000,-0.35,19.66,100,0,Beg_1,23.6,0,0,tripinfo_bus.2 routing_bus.2,361,bus.2,1,6982.4,1,0,128,bus,,1,1
462,End_2,1000,0,15.39,11,0.07,Beg_3,0,0,0,tripinfo_normal_car.7 routing_normal_car.7,451,normal_car.7,1,7006,1.03,0,27.1,normal_car,,0,0
464,End_1,1000,0,18.11,98,0.81,Beg_1,0,0,0,tripinfo_paying_car.35 routing_paying_car.35,366,paying_car.35,1,7006,1.12,0,131.98,paying_car,,1,1
465,End_1,1000,0,18.11,117,0.37,Beg_2,123.9,0,0,tripinfo_paying_car.42 routing_paying_car.42,348,paying_car.42,1,6882.1,1,0,118.36,paying_car,,0,0
466,End_2,1000,0,17.68,30,0.32,Beg_2,10,0,0,tripinfo_normal_car.19 routing_normal_car.19,436,normal_car.19,1,6996,1.18,0,62.75,normal_car,,0,0
467,End_1,1000,0,19.32,114,0.14,Beg_1,13.6,0,0,tripinfo_paying_car.41 routing_paying_car.41,353,paying_car.41,1,6992.4,1.1,0,119.29,paying_car,,0,0
468,End_1,1000,0,19.42,75,0.02,Beg_3,211.18,0,0,tripinfo_paying_car.27 routing_paying_car.27,393,paying_car.27,1,6794.82,1.03,0,119.49,paying_car,,0,0
470,End_2,1000,0,15.15,21,0.69,Beg_2,40.86,0,0,tripinfo_normal_car.13 routing_normal_car.13,449,normal_car.13,1,6965.14,1.01,0,20.39,normal_car,,0,0
470,End_1,1000,0,21.59,112,0.92,Beg_1,0,0,0,tripinfo_paying_car.40 routing_paying_car.40,358,paying_car.40,1,7006,1.1,0,123.83,paying_car,,0,0
472,End_1,1000,0,19.66,106,0.47,Beg_1,0,0,0,tripinfo_paying_car.38 routing_paying_car.38,366,paying_car.38,1,7006,1.01,0,131.99,paying_car,,0,0
473,End_1,1000,0,19.66,123,0.81,Beg_1,19.5,0,0,tripinfo_paying_car.44 routing_paying_car.44,350,paying_car.44,1,6986.5,1.02,0,116.89,paying_car,,0,0
475,End_1,1000,0,20.86,120,0.59,Beg_1,0,0,0,tripinfo_paying_car.43 routing_paying_car.43,355,paying_car.43,1,7006,0.94,0,108.3,paying_car,,0,0
476,End_1,1000,0,20.86,128,0.26,Beg_2,62,0,0,tripinfo_paying_car.46 routing_paying_car.46,348,paying_car.46,1,6944,1.12,0,116.11,paying_car,,0,0
477,End_1,1000,0,20.88,134,0.7,Beg_1,19.5,0,0,tripinfo_paying_car.48 routing_paying_car.48,343,paying_car.48,1,6986.5,1.23,0,109.95,paying_car,,0,0
479,End_1,1000,0,22.2,131,0.48,Beg_1,0,0,0,tripinfo_paying_car.47 routing_paying_car.47,348,paying_car.47,1,7006,1.07,0,113.84,paying_car,,0,0
480,End_1,1000,0,22.83,150,0.04,Beg_3,259.77,0,0,tripinfo_paying_car.54 routing_paying_car.54,330,paying_car.54,1,6746.23,1,0,104.89,paying_car,,0,0
481,End_2,1000,0,16.79,61,0.08,Beg_3,163.48,0,0,tripinfo_normal_car.39 routing_normal_car.39,420,normal_car.39,1,6842.52,1.12,0,34.03,normal_car,,0,0
482,End_2,1000,0,15.08,32,0.76,Beg_2,123.06,0,0,tripinfo_normal_car.20 routing_normal_car.20,450,normal_car.20,1,6882.94,1.01,0,22.04,normal_car,,0,0
483,End_1,1000,0,18.85,125,0.04,Beg_1,0,0,0,tripinfo_paying_car.45 routing_paying_car.45,358,paying_car.45,1,7006,1.03,0,124.46,paying_car,,0,0
485,End_1,1000,0,20.08,145,0.6,Beg_1,60.5,0,0,tripinfo_paying_car.52 routing_paying_car.52,340,paying_car.52,1,6945.5,1.14,0,108.06,paying_car,,0,0
486,End_1,1000,0,20.16,139,0.15,Beg_1,13.6,0,0,tripinfo_paying_car.50 routing_paying_car.50,347,paying_car.50,1,6992.4,0.95,0,103.99,paying_car,,0,0
487,End_3,1000,0,16.38,42,0.35,Beg_1,0,0,0,tripinfo_paying_car.15 routing_paying_car.15,445,paying_car.15,1,7006,1.09,0,44.17,paying_car,,0,0
488,End_3,1000,0,17.58,33,0.2,Beg_2,48.53,0,0,tripinfo_normal_car.21 routing_normal_car.21,455,normal_car.21,1,6957.47,1.17,0,81.41,normal_car,,0,0
488,End_2,1000,0,15.46,40,0.95,Beg_2,13.6,0,0,tripinfo_normal_car.25 routing_normal_car.25,448,normal_car.25,1,6992.4,1.03,0,25.74,normal_car,,0,0
489,End_1,1000,0,17.86,137,0.93,Beg_1,0,0,0,tripinfo_paying_car.49 routing_paying_car.49,352,paying_car.49,1,7006,1.02,0,118.14,paying_car,,0,0
490,End_3,1000,0,17.37,19,0.26,Beg_2,10,0,0,tripinfo_normal_car.12 routing_normal_car.12,471,normal_car.12,1,6996,1.16,0,91.73,normal_car,,0,0
491,End_1,1000,0,19.84,142,0.37,Beg_1,0,0,0,tripinfo_paying_car.51 routing_paying_car.51,349,paying_car.51,1,7006,0.94,0,101.23,paying_car,,0,0
492,End_1,1000,0,21.5,156,0.49,Beg_1,19.5,0,0,tripinfo_paying_car.56 routing_paying_car.56,336,paying_car.56,1,6986.5,1.18,0,103.1,paying_car,,0,0
493,End_2,1000,0,14.07,8,0.19,Beg_2,0,0,0,tripinfo_normal_car.5 routing_normal_car.5,485,normal_car.5,1,7006,0.94,0,23.94,normal_car,,0,0
494,End_1,1000,0,22.74,153,0.27,Beg_1,0,0,0,tripinfo_paying_car.55 routing_paying_car.55,341,paying_car.55,1,7006,0.93,0,91.11,paying_car,,0,0
495,End_2,1000,0,15.3,35,0.64,Beg_2,0,0,0,tripinfo_normal_car.22 routing_normal_car.22,460,normal_car.22,1,7006,1.02,0,32.82,normal_car,,0,0
495,End_1,1000,0,23.39,167,0.38,Beg_1,55.6,0,0,tripinfo_paying_car.60 routing_paying_car.60,328,paying_car.60,1,6950.4,1.03,0,96.21,paying_car,,0,0
496,End_2,1000,0,16.24,60,0.64,Beg_3,23.6,0,0,tripinfo_normal_car.38 routing_normal_car.38,436,normal_car.38,1,6982.4,1.08,0,33.36,normal_car,,0,0
498,End_1,1000,0,18.99,162,0.93,Beg_1,19.5,0,0,tripinfo_paying_car.58 routing_paying_car.58,336,paying_car.58,1,6986.5,0.99,0,101.31,paying_car,,0,0
499,End_1,1000,0,19.04,159,0.71,Beg_1,0,0,0,tripinfo_paying_car.57 routing_paying_car.57,340,paying_car.57,1,7006,1.14,0,106.37,paying_car,,0,0
501,End_1,1000,0,20.42,164,0.16,Beg_1,0,0,0,tripinfo_paying_car.59 routing_paying_car.59,337,paying_car.59,1,7006,1.05,0,102.98,paying_car,,0,0
502,End_1,1000,0,20.77,94,2.36,Beg_3,0,0,0,tripinfo_paying_car.33 routing_paying_car.33,408,paying_car.33,1,7006,0.83,0,72.81,paying_car,,0,0
504,End_1,1000,0,23.6,109,0.7,Beg_2,49.7,0,0,tripinfo_paying_car.39 routing_paying_car.39,395,paying_car.39,1,6956.3,0.96,0,101.51,paying_car,,0,0
505,End_2,1000,0,13.29,7,0.75,Beg_3,46.2,0,0,tripinfo_normal_car.4 routing_normal_car.4,498,normal_car.4,1,6959.8,0.89,0,13.54,normal_car,,0,0
506,End_3,1000,0,14.04,18,0.82,Beg_2,0,0,0,tripinfo_normal_car.11 routing_normal_car.11,488,normal_car.11,1,7006,0.94,0,26.52,normal_car,,0,0
506,End_1,1000,0,24.92,148,0.82,Beg_1,0,0,0,tripinfo_paying_car.53 routing_paying_car.53,358,paying_car.53,1,7006,0.97,0,99.96,paying_car,,0,0
